Election date,State,Democratic votes,Other votes,Republican votes,Democratic electoral,Other electoral,Republican electoral
2012-11-06,AK,122640,13179,164676,0,0,3
2012-11-06,AL,795696,22717,1255925,0,0,9
2012-11-06,AR,394409,27315,647744,0,0,6
2012-11-06,AZ,1025232,40368,1233654,0,0,11
2012-11-06,CA,7854285,344304,4839958,55,0,0
2012-11-06,CO,1323101,61176,1185243,9,0,0
2012-11-06,CT,905083,18985,634892,7,0,0
2012-11-06,DC,267070,5313,21381,3,0,0
2012-11-06,DE,242584,5853,165484,3,0,0
2012-11-06,FL,4237756,72976,4163447,29,0,0
2012-11-06,GA,1773827,47535,2078688,0,0,16
2012-11-06,HI,306658,7024,121015,4,0,0
2012-11-06,IA,822544,29019,730617,6,0,0
2012-11-06,ID,212787,18576,420911,0,0,4
2012-11-06,IL,3019512,87286,2135216,20,0,0
2012-11-06,IN,1152887,51104,1420543,0,0,11
2012-11-06,KS,440726,26611,692634,0,0,6
2012-11-06,KY,679370,30652,1087190,0,0,8
2012-11-06,LA,809141,32662,1152262,0,0,8
2012-11-06,MA,1921290,58163,1188314,11,0,0
2012-11-06,MD,1677844,57614,971869,10,0,0
2012-11-06,ME,802339,37058,584428,4,0,0
2012-11-06,MI,2564569,51136,2115256,16,0,0
2012-11-06,MN,1546167,70169,1320225,10,0,0
2012-11-06,MO,1223796,51087,1482440,0,0,10
2012-11-06,MS,562949,11889,710746,0,0,6
2012-11-06,MT,201839,14281,267928,0,0,3
2012-11-06,NC,2178391,56586,2270395,0,0,15
2012-11-06,ND,124827,9637,188163,0,0,3
2012-11-06,NE,604162,28343,950128,0,0,5
2012-11-06,NH,369561,11493,329918,4,0,0
2012-11-06,NJ,2125101,37623,1477568,14,0,0
2012-11-06,NM,415335,32635,335788,5,0,0
2012-11-06,NV,531373,19978,463567,6,0,0
2012-11-06,NY,4485741,104987,2490431,29,0,0
2012-11-06,OH,2827710,91697,2661433,18,0,0
2012-11-06,OK,443547,0,891325,0,0,7
2012-11-06,OR,970488,64607,754175,7,0,0
2012-11-06,PA,2990274,82962,2680434,20,0,0
2012-11-06,RI,279677,9168,157204,4,0,0
2012-11-06,SC,865941,26532,1071645,0,0,9
2012-11-06,SD,145039,8166,210610,0,0,3
2012-11-06,TN,960709,35538,1462330,0,0,11
2012-11-06,TX,3308124,115884,4569843,0,0,38
2012-11-06,UT,251813,25027,740600,0,0,6
2012-11-06,VA,1971820,60147,1822522,13,0,0
2012-11-06,VT,199239,7353,92698,3,0,0
2012-11-06,WA,1755396,79450,1290670,12,0,0
2012-11-06,WI,1620985,39483,1407966,10,0,0
2012-11-06,WV,238269,14514,417655,0,0,5
2012-11-06,WY,69286,8813,170962,0,0,3
2008-11-04,AK,123594,8762,193841,0,0,3
2008-11-04,AL,813479,19794,1266546,0,0,9
2008-11-04,AR,422310,26290,638017,0,0,6
2008-11-04,AZ,1034707,28657,1230111,0,0,10
2008-11-04,CA,8274473,275646,5011781,55,0,0
2008-11-04,CO,1288633,39200,1073629,9,0,0
2008-11-04,CT,997772,19597,629428,7,0,0
2008-11-04,DC,245800,2686,17367,3,0,0
2008-11-04,DE,255459,4579,152374,3,0,0
2008-11-04,FL,4282074,63046,4045624,27,0,0
2008-11-04,GA,1844123,31604,2048759,0,0,15
2008-11-04,HI,325871,7131,120566,4,0,0
2008-11-04,IA,828940,25804,682379,7,0,0
2008-11-04,ID,236440,15670,403012,0,0,4
2008-11-04,IL,3419348,71844,2031179,21,0,0
2008-11-04,IN,1374039,31367,1345648,11,0,0
2008-11-04,KS,514765,21452,699655,0,0,6
2008-11-04,KY,751985,26173,1048462,0,0,8
2008-11-04,LA,782989,29497,1148275,0,0,9
2008-11-04,MA,1904097,68034,1108854,12,0,0
