Date,Democratic maximum,Republican maximum
2020-10-16,350,188
2020-10-17,350,188
2020-10-18,356,182
2020-10-19,356,182
2020-10-20,356,182
2020-10-21,340,198
2020-10-22,334,204
2020-10-23,350,188
2020-10-24,350,188
2020-10-25,334,204
2020-10-26,350,188
2020-10-27,350,188
2020-10-28,350,188
2020-10-29,350,188
2020-10-30,350,188
2020-10-31,350,188
2020-11-01,350,188
2020-11-02,350,188
