State abbreviation,1789,1792,1796,1800,1804,1808,1812,1816,1820,1824,1828,1832,1836,1840,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
MD,8,10,10,10,11,11,11,11,11,11,11,10,10,10,8,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
MA,10,16,16,16,19,19,22,22,15,15,15,14,14,14,12,12,13,13,13,12,12,13,13,13,14,14,15,15,15,16,16,18,18,18,18,18,17,17,17,16,16,16,16,16,14,14,14,14,14,13,13,12,12,12,12,12,11,11,11
MI,,,,,,,,,,,,,3,3,5,5,6,6,6,8,8,11,11,11,13,13,14,14,14,14,14,15,15,15,15,15,19,19,19,19,19,20,20,20,21,21,21,21,21,20,20,18,18,18,17,17,16,16,16
MN,,,,,,,,,,,,,,,,,,,4,4,4,5,5,5,7,7,9,9,9,11,11,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
MS,,,,,,,,,3,3,3,4,4,4,6,6,7,7,7,0,0,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
MO,,,,,,,,,3,3,3,4,4,4,7,7,9,9,9,11,11,15,15,15,16,16,17,17,17,18,18,18,18,18,18,18,15,15,15,15,15,13,13,13,12,12,12,12,12,11,11,11,11,11,11,11,10,10,10
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
NE,,,,,,,,,,,,,,,,,,,,,3,3,3,3,5,5,8,8,8,8,8,8,8,8,8,8,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
NV,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,6,6,6
NH,5,6,6,6,7,7,8,8,8,8,8,7,7,7,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
NJ,6,7,7,7,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,9,9,9,9,9,10,10,10,12,12,14,14,14,14,14,16,16,16,16,16,16,16,16,17,17,17,17,17,16,16,15,15,15,15,15,14,14,14
NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
NY,8,12,12,12,19,19,29,29,29,36,36,42,42,42,36,36,35,35,35,33,33,35,35,35,36,36,36,36,36,39,39,45,45,45,45,45,47,47,47,47,47,45,45,45,43,43,41,41,41,36,36,33,33,33,31,31,29,29,29
